"CODESTAB","DESCESTAB"
"0000001","POSTO DE SAUDE PARQUE AGUA LIMPA"
"0000017","HOSPITAL UNIMED ANTIGO SAO LUCAS"
"0000020","CLINICA SAO LUCAS"
"0000021","HOSPITAL MUNICIPAL DR FERNANDO PEREIRA SILVA"
"0000023","HOSPITAL DO PROGRESSO STA CATARINA"
"0000024","HOSPITAL E MATERNIDADE SAO LUCAS"
"0000025","CENTRO HOSPITALAR DA POLICIA MILITAR"
"0000027","CASA DE SAUDE SANTA HELENA"
"0000030","HOSPITAL GERAL DO EXERCITO"
"0000034","HOSPITAL SAO MATEUS SAME"
"0000035","HOSPITAL MENDO SAMPAIO"
"0000044","HOSPITAL UNIMED"
"0000046","HOSPITAL GERAL DO EXERCITO"
"0000052","HOSPITAL SANTA CATARINA"
"0000053","HOSPITAL NAVAL DE LADARIO"
"0000056","CASA DE SAUDE SAO SEBASTIAO"
"0000057","HOSPITAL E MATERNIDADE SINO BRASILEIRO"
"0000058","PRONTO SOCORRO DR ANDRE SACCO"
"0000061","HOSPITAL MUNICIPAL DA MULHER"
"0000062","HOSP MATERNIDADE VIDA NOVA ABELA ABBA BERNARDELLI"
"0000063","HOSPITAL CENTRAL DO EXERCITO HCE"
"0000069","HOSPITAL DA FORCA AEREA DO GALEAO"
"0000079","HOSP STA CRUZ RIO OESTE"
"0000080","MATERNIDADE DO BRAS"
"0000084","HOSPITAL DA BASE AEREA DE CAMPO GRANDE"
"0000087","HOSPITAL INST DE DIAG E TRAT DE DOENCAS"
"0000088","HOSP MUN LEONEL DE MOURA BRIZOLA"
"0000094","MATERNIDADE PADRE GERALDO LEITE BASTOS"
"0000097","HOSPITAL NALDO LUZA N GUIMARAES"
"0000098","HOSPITAL UNIMED DE MACAE"
"0000099","HOSPITAL MUNICIPAL PREF AURELINO GONCALVES BARBOSA"
"0000100","HOSPITAL MUNICIPAL RODOLFO PERISSE"
"0000103","POSTO DE SAUDE DE CUMARU DO NORTE"
"0000104","UNIDADE MISTA DE SAUDE DO JORDAO"
"0000106","HOSPITAL UNIMED"
"0000112","CLINICA AMMI"
"0000120","NORCLINICAS INTERMEDICA"
"0000125","HOSPITAL E MATERNIDADE SAO PEDRO"
"0000127","HOSPITAL MUNICIPAL ANDRE MAGGI"
"0000130","HOSPITAL GERAL DO EXERCITO"
"0000141","HOSPITAL SAO VICENTE DE PAULO"
"0000143","CLINICA SAO VICENTE"
"0000146","HOSPITAL SAO LUCAS"
"0000149","HOSPITAL MUNICIPAL DE JUSSARA"
"0000152","CLINICA SAO FRANCISCO"
"0000153","PROMATER"
"0000156","HOSPITAL ADVENTISTA DE BELEM"
"0000158","HOSPITAL DO CORACAO"
"0000163","MATERNIDADE PRO VIDA"
"0000176","HOSPITAL MUNICIPAL"
"0000182","CASA MATERNAL NOSSA SENHORA DO BOM PARTO"
"0000183","HOSPITAL SAMARITANO"
"0000185","CLINICA OBSTETRICA DR DORENILDO"
"0000187","HOSPITAL E MATERNIDADE NOSSA SENHORA DAS MERCES"
"0000193","HOSPITAL SAO JOSE"
"0000195","CASA DE PARTO NORMAL DR GERALDO DE OLIVEIRA PASSOS"
"0000198","HOSPITAL GERAL DE BELEM"
"0000211","POLICLINICA DONA BEATRIZ"
"0000217","ASSOCIACAO DE SUBOFICIAIS E SARGENTOS DA MARINHA"
"0000221","HOSPITAL SAO SEBASTIAO"
"0000226","HOSPITAL MUNICIPAL DR JOSE EVANGELISTA DE OLIVEIRA"
"0000229","CASA DE PARTO SAPOPEMBA"
"0000234","HOSPITAL METROPOLITANO"
"0000252","MATERNIDADE PEGGIE BENTO"
